epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44422,1.63987,4.08125,1.8108,0.36771,0.40903,0.37134,0.24275,1.6263,3.89534,1.76215,0.00027151,0.00027151,0.00027151
2,7.36393,1.55657,2.48658,1.6272,0.60263,0.26587,0.23329,0.13321,1.78973,4.59406,1.89983,0.000548114,0.000548114,0.000548114
3,10.1398,1.74965,2.50875,1.6922,0.0378,0.06349,0.01785,0.0079,2.57876,26.8469,3.73105,0.000815287,0.000815287,0.000815287
4,12.8301,1.66675,2.21049,1.71808,0.14626,0.05952,0.0432,0.00881,2.92813,11.9879,4.01961,0.00107303,0.00107303,0.00107303
5,15.5401,1.69539,2.1573,1.73254,0.01169,0.06349,0.00772,0.00247,2.89624,46.8497,4.15898,0.00132134,0.00132134,0.00132134
6,18.2262,1.67683,1.9425,1.64105,0.00157,0.18254,0.00116,0.00023,3.79898,62.0257,4.03921,0.00131111,0.00131111,0.00131111
7,20.8791,1.65147,1.97968,1.67046,0.00063,0.01587,0.00026,0.00012,4.02251,13.4796,4.42326,0.00128753,0.00128753,0.00128753
8,23.5336,1.68674,1.96794,1.69524,0.81473,0.14286,0.13468,0.06874,1.90936,5.25947,2.32263,0.00126395,0.00126395,0.00126395
9,26.2271,1.60078,1.90939,1.62817,0.35209,0.19048,0.17516,0.06365,1.73666,5.84417,1.99741,0.00124037,0.00124037,0.00124037
10,28.8863,1.59421,1.82016,1.62414,0.33972,0.42857,0.29741,0.14839,1.62997,4.86555,1.9536,0.00121679,0.00121679,0.00121679
11,31.5603,1.52327,1.7447,1.59413,0.74184,0.26809,0.37582,0.1993,1.63545,2.09469,2.04245,0.00119322,0.00119322,0.00119322
12,34.2237,1.5956,1.7353,1.64736,0.71153,0.40079,0.36941,0.23441,1.41437,3.24636,1.64673,0.00116964,0.00116964,0.00116964
13,36.8846,1.52305,1.6473,1.55696,0.28461,0.48413,0.3557,0.21395,1.4362,2.58573,1.66824,0.00114606,0.00114606,0.00114606
